datetime,air_temperature,running_status,sonic_status,operation_mode,location_status,location,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,rotation_speed_duo,rotation_pressure_duo,G_force_z,G_force_x,G_force_y,date_time,sonic_frequency,torque,torque_duo,penetration_speed
35:19.2,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.175,48.9,38.125,5.275,0,1,0,0.319,0.37,0.37,8558.57,51.28,0,0,8.01082,5.12552,4.10992,35:19.2,142.64283333333333,767.7299999999999,0,3.061224489795921
35:19.4,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.4,49.25,38.075,5.275,0,1,0.006,0.319,0.38,0.38,8558.57,51.34,0,0,8.01082,5.12552,4.10992,35:19.4,142.64283333333333,773.2249999999999,0,2.4590163934426252
35:19.6,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.475,49.05,38.4,5.25,0,0.7,0.006,0.319,0.39,0.39,8558.57,51.34,0,0,8.01082,5.12552,4.10992,35:19.6,142.64283333333333,770.0849999999999,0,4.9180327868852505
35:19.8,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.525,49.15,36.725,5.275,0,0.7,0.006,0.319,0.4,0.4,8603.6,51.21,0,0,8.01082,5.12552,4.10992,35:19.8,143.39333333333335,771.655,0,2.9268292682926855
35:20.0,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.625,49.9,36.5,5.3,0,0.7,0.006,0.319,0.41,0.41,8603.6,51.21,0,0,8.01082,5.12552,4.10992,35:20.0,143.39333333333335,783.43,0,2.702702703
35:20.1,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,167.9,50.4,35.9,5.25,0.6,0.7,0.006,0.319,0.42,0.42,8603.6,51.21,0,0,8.01082,5.12552,4.10992,35:20.1,143.39333333333335,791.28,0,3.6809815950920277
35:20.3,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.625,51.35,35.025,5.275,0.6,1.2,0.012,0.319,0.43,0.43,8577.63,44.05,0,0,8.01082,5.12552,4.10992,35:20.3,142.9605,806.1949999999999,0,3.061224489795921
35:20.6,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.625,52.8,34.65,5.3,0.6,1.2,0.012,0.319,0.44,0.44,8577.63,44.05,0,0,8.01082,5.12552,4.10992,35:20.6,142.9605,828.9599999999999,0,2.5210084033613467
35:20.8,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.825,55.025,32.85,5.3,0.6,1.2,0.012,0.319,0.45,0.45,8646.52,43.95,0,0,8.01082,5.12552,4.10992,35:20.8,144.10866666666666,863.8924999999999,0,3.030303030303033
35:21.0,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.95,56.925,31.325,5.325,0.5,1.2,0.012,0.319,0.46,0.46,8646.52,43.95,0,0,8.01082,5.12552,4.10992,35:21.0,144.10866666666666,893.7225,0,2.843601896
35:21.3,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.175,59.975,31.125,5.325,0.5,-1.5,0.012,0.319,0.47,0.47,8550.95,44.02,0,0,8.01082,5.12552,4.10992,35:21.3,142.51583333333335,941.6075,0,1.8808777429466996
35:21.5,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.8,62.1,30.5,5.325,0.5,-1.5,0.012,0.319,0.48,0.48,8550.95,44.02,0,0,8.01082,5.12552,4.10992,35:21.5,142.51583333333335,974.97,0,3.797468354430383
