datetime,air_temperature,sonic_status,operation_mode,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,G_force_z,G_force_x,G_force_y,sonic_frequency,torque,penetration_speed,qc,fs,fs_sqrt,air_temperature_outlier,number_of_rods_outlier,sonic_pressure_outlier,rotation_pressure_outlier,pullup_pressure_outlier,pulldown_pressure_outlier,inclination_x_outlier,inclination_y_outlier,flushing_pressure_outlier,flushing_debit_outlier,depth_raw_outlier,sonic_speed_outlier,rotation_speed_outlier,G_force_z_outlier,G_force_x_outlier,G_force_y_outlier,sonic_frequency_outlier,torque_outlier,penetration_speed_outlier,qc_outlier,fs_outlier,fs_sqrt_outlier,pull_diff,torque_per_rotation,g_total,energy_input,mechanical_stress,torque_to_penetration
35:17.5,18.1,1,1,1,170.525,46.65,38.275,5.275,-0.2,0.6,0.0,0.319,0.28,0.28,8580.32,51.29,0.456749,0.482051,0.475762,143.00533333333334,732.405,2.926829268292685,7.3,38.92,6.238589584192889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,14.279683870546231,0.8169102130870932,1463159.068,34166.69325,250.23828950191754
35:17.7,18.1,1,1,1,171.375,43.45,38.35,5.25,-0.2,0.6,0.0,0.319,0.29,0.29,8496.74,51.34,0.456749,0.482051,0.475762,141.61233333333334,682.165,2.926829268292669,7.35,39.68,6.299206299209449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,13.28720270184646,0.8169102130870932,1456128.8175,29640.06925,233.07296203340573
35:17.9,18.1,1,1,1,171.975,45.8,38.375,5.25,-0.2,0.6,0.0,0.319,0.3,0.3,8496.74,51.34,8.01082,5.12552,4.10992,141.61233333333334,719.06,3.797468354430383,7.33,40.8,6.387487769068525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.125,14.005843124155762,10.36029124828062,1461226.8614999999,32932.948,189.35241680386338
35:18.1,18.1,1,1,1,169.025,48.125,39.0,5.25,-0.2,0.5,0.0,0.3,0.31,0.31,8496.74,51.34,8.01082,5.12552,4.10992,141.61233333333334,755.5625,2.690582959641258,7.21,40.96,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.75,14.716838435589434,10.36029124828062,1436161.4785,36361.4453125,280.8172914629064
35:18.3,18.1,1,1,1,167.675,47.6,39.1,5.275,-0.2,0.5,0.0,0.3,0.32,0.32,8587.13,51.44,8.01082,5.12552,4.10992,143.11883333333333,747.3199999999999,3.658536585365857,7.08,41.54,6.445153217728808,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.825,14.527993496734185,10.36029124828062,1439847.02275,35572.432,204.26741083357416
35:18.4,18.1,1,1,1,168.875,47.575,39.15,5.25,-0.2,0.5,0.0,0.3,0.33,0.33,8587.13,51.44,8.01082,5.12552,4.10992,143.11883333333333,746.9275,3.8216560509554176,6.8,42.48,6.517668294720129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.9,14.520363248048927,10.36029124828062,1450151.5787499999,35535.0758125,195.4459780249689
35:18.7,18.1,1,1,1,169.6,47.75,37.9,5.275,0.0,1.0,0.0,0.3,0.34,0.34,8587.13,51.44,8.01082,5.12552,4.10992,143.11883333333333,749.675,2.531645569620256,6.36,43.74,6.613622305514581,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,32.625,14.573774988845743,10.36029124828062,1456377.248,35796.98125,296.121508032004
35:18.9,18.1,1,1,1,170.025,48.2,38.1,5.25,0.0,1.0,0.0,0.319,0.35,0.35,8614.06,51.28,8.01082,5.12552,4.10992,143.56766666666667,756.74,3.030303030303016,5.81,44.46,6.667833231267861,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,32.85,14.757019993037833,10.36029124828062,1464605.5515,36474.868,249.72411759104236
35:19.0,18.1,1,1,1,170.55,48.3,38.25,5.225,0.0,1.0,0.0,0.319,0.36,0.36,8614.06,51.28,8.01082,5.12552,4.10992,143.56766666666667,758.31,4.580152671755729,5.17,45.9,6.774953874381729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.025,14.787636217089776,10.36029124828062,1469127.933,36626.37299999999,165.5643138517913
35:19.2,18.1,1,1,1,170.175,48.9,38.125,5.275,0.0,1.0,0.0,0.319,0.37,0.37,8558.57,51.28,8.01082,5.12552,4.10992,142.64283333333333,767.7299999999999,3.061224489795921,4.59,48.36,6.954135460285484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,32.85,14.97133356140145,10.36029124828062,1456454.64975,37541.996999999996,250.7917180747052
